Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
704.428,559.248,-243.39,-1190,-21140,58240
711.504,562.969,-240.95,-700,-21910,66850
733.708,527.101,-234.545,-1680,-23730,78960
760.731,444.507,-235.948,-5810,-27720,91350
777.506,394.365,-235.033,-14070,-32760,100380
773.846,353.495,-231.251,-22890,-38220,107450
770.674,319.518,-235.643,-29540,-43330,112140
757.498,307.623,-249.307,-32690,-46200,113120
737.124,332.877,-258.274,-31080,-46130,111440
724.558,366.915,-253.76,-24780,-43680,111860
735.416,346.236,-239.852,-15540,-41790,117670
753.228,292.8,-256.017,-7280,-42280,125930
400.099,-1139.54,-821.06,6160,-14070,1540
407.297,-1189.62,-873.215,4760,-10500,-1750
395.707,-1237.81,-890.051,3430,-4480,-6930
396.256,-1262.52,-908.412,1820,2590,-14700
384.788,-1290.03,-889.319,1960,10500,-22680
382.226,-1315.59,-864.126,1750,15820,-31360
374.662,-1335.05,-886.391,2310,19320,-40530
353.007,-1363.47,-886.391,4340,23450,-49140
343.308,-1377.14,-922.015,6860,27370,-58870
340.38,-1383.18,-932.507,9730,33950,-69440
313.174,-1370.24,-902.312,11760,40600,-79730
303.719,-1378.97,-879.986,11620,44520,-87360
313.357,-1400.86,-880.596,9800,46410,-94990
309.392,-1403.85,-890.844,4690,48440,-105070
296.338,-1363.53,-853.756,-4410,50610,-115150
270.596,-1333.58,-812.642,-17290,49420,-120330
256.017,-1331.02,-821.304,-33180,44590,-120610
254.675,-1344.99,-910.974,-52150,40880,-122360
242.292,-1291.31,-912.499,-74620,45500,-127400
214.964,-1213.47,-896.578,-95270,52920,-134820
177.022,-1085.43,-861.442,-111370,63630,-142870
137.25,-953.735,-781.349,-122010,76720,-147770
125.721,-842.349,-699.609,-126140,88830,-149100
112.484,-799.039,-583.038,-122920,98140,-147350
150.609,-796.721,-575.108,-115290,100800,-144830
184.83,-766.648,-554.917,-108150,105000,-148190
171.288,-726.083,-510.082,-99470,108570,-153020
188.795,-670.146,-524.234,-92260,110670,-157150
190.381,-617.381,-501.359,-87080,115290,-161350
214.476,-576.267,-476.776,-83230,119490,-165690
215.147,-495.869,-419.558,-80080,124880,-172200
197.03,-416.142,-336.415,-74060,128170,-175000
221.491,-335.378,-338.306,-67340,128030,-173460
242.841,-307.257,-319.457,-60480,129640,-170800
269.254,-286.029,-304.268,-52500,130690,-169120
300.669,-265.655,-264.191,-45990,131460,-168910
328.668,-258.152,-175.009,-39760,129010,-166530
394.182,-291.275,-185.806,-36330,118580,-160160
446.703,-336.476,-258.701,-39690,108010,-157360
474.397,-304.268,-320.677,-46760,103460,-161840
440.298,-244.549,-310.673,-53830,105210,-167580
436.089,-170.678,-265.106,-58870,108290,-172340
437.614,-46.909,-245.952,-61040,113750,-177590
428.098,87.84,-149.084,-58590,122080,-181090
430.904,180.621,-116.998,-50190,127190,-180390
465.064,229.665,-40.199,-40460,132930,-176680
503.982,283.406,42.517,-30660,136360,-175350
521.367,342.088,90.341,-18830,136290,-175980
528.748,378.505,101.077,-9030,135730,-177170
525.149,455.426,150.487,-2030,137900,-180740
511.18,519.293,202.398,4130,139440,-184240
505.202,615.978,239.181,8470,139160,-189770
473.116,751.337,256.627,12110,138600,-192010
440.237,842.837,313.906,13300,136220,-185220
463.478,953.552,321.47,10010,129640,-172620
479.826,1046.76,366.427,7490,120960,-153370
516.06,1124.9,403.332,5250,107310,-127680
582.672,1141.25,430.904,4130,88900,-95970
629.093,1061.46,454.084,3430,66640,-62510
691.557,974.353,450.424,2660,41510,-33040
748.653,862.784,421.327,4060,16030,-7630
789.584,716.262,349.103,6300,-8260,12320
822.951,598.471,255.59,8680,-28210,25410
850.279,504.043,180.743,10290,-43400,35070
880.413,422.791,96.502,10500,-55020,42420
913.292,343.796,28.426,9940,-62650,47460
941.657,275.842,-24.278,7980,-67620,50260
966.118,233.691,-73.932,4480,-70700,50890
982.649,195.322,-125.538,280,-71890,50330
993.751,175.192,-167.445,-3640,-70420,47740
1013.03,176.229,-205.387,-6510,-67060,44240
1008.94,170.495,-231.251,-6790,-61880,40810
1006.44,175.802,-244.305,-6300,-55510,36260
1006.87,186.721,-258.152,-5110,-48580,31990
1006.2,192.699,-255.407,-3080,-41650,28140
1004.18,206.912,-252.052,-770,-35630,24080
1000.28,220.942,-257.481,1890,-30240,20650
992.592,222.711,-252.967,4620,-25270,17850
989.298,225.944,-255.651,6230,-20860,15260
988.2,220.271,-253.76,7140,-16940,12740
981.063,226.188,-245.098,7140,-13650,9520
968.009,243.146,-238.327,6720,-10920,6650
956.114,261.202,-229.726,6370,-8680,4970
942.877,288.713,-225.822,6300,-7000,3850
931.104,310.307,-220.82,7070,-5390,3920
927.017,300.73,-205.509,8400,-4200,5320
921.893,290.238,-198.189,9170,-3990,6160
912.011,294.264,-195.383,8750,-4200,6300
903.471,306.464,-192.028,7630,-4550,6930
897.615,319.152,-180.499,6300,-4900,7490
887.245,339.648,-166.957,5740,-5250,8050
880.474,356.423,-157.258,6580,-5740,9380
874.496,366.61,-151.219,8540,-6090,11620
871.446,364.536,-152.073,11060,-6230,14490
871.629,358.192,-150.975,13510,-6020,17640
874.191,344.528,-148.596,15540,-5600,20790
877.546,326.716,-140.361,16520,-5670,23800
875.472,318.908,-136.518,16100,-6370,26110
873.52,312.442,-130.235,15120,-7350,28630
876.265,312.381,-123.159,14560,-8540,31010
875.838,310.124,-119.987,14000,-10150,33880
874.862,301.34,-118.95,13720,-12180,37100
875.045,290.238,-121.085,13230,-14420,39970
873.764,285.175,-121.878,12950,-16310,42700
870.897,276.33,-112.545,12180,-18830,45360
862.784,272.609,-125.721,11550,-22050,47460
848.022,277.611,-136.457,10990,-23660,49420
837.347,291.397,-132.98,10850,-23870,51450
825.696,304.512,-123.342,11340,-23800,54040
822.89,307.684,-108.824,12810,-24010,57890
826.977,291.336,-98.149,15120,-25130,62860
841.861,257.42,-92.598,18060,-27090,67970
856.562,212.097,-95.831,21070,-30240,72450
865.163,174.033,-104.676,23170,-34160,75740
870.836,137.86,-109.678,24010,-38500,77910
873.764,108.336,-131.333,24150,-43050,79170
870.043,93.879,-146.888,23450,-46550,79450
864.004,82.899,-153.842,22120,-49560,79660
856.501,81.191,-166.53,20650,-52640,80220
283.894,-1389.21,-904.752,42350,-7840,23660
317.932,-1455.22,-922.564,50120,1750,15400
324.459,-1495.78,-956.724,54460,11900,1330
351.787,-1559.46,-956.846,49980,24360,-16520
367.952,-1557.64,-913.292,39200,37450,-36820
355.325,-1547.51,-827.038,23240,45220,-55860
346.846,-1486.02,-762.317,3850,46550,-70770
320.006,-1418.98,-741.882,-15890,44240,-80010
303.902,-1366.22,-753.167,-33250,41930,-86310
295.667,-1326.75,-763.72,-48020,41790,-91700
296.277,-1296.43,-776.408,-60270,43890,-97440
288.835,-1276.43,-741.76,-69230,48160,-104790
282.125,-1261.24,-695.766,-75740,50400,-111370
291.336,-1245.01,-699.975,-81130,50750,-118370
273.768,-1196.03,-704.001,-84210,52780,-127330
235.46,-1147.9,-706.563,-83720,56630,-135030
214.476,-1112.21,-731.085,-80780,61810,-140630
211.853,-1080.07,-746.396,-77980,69650,-146440
203.069,-1045.54,-717.299,-75810,78820,-153300
195.2,-988.139,-652.822,-74900,86590,-159740
183.976,-943.426,-592.676,-74550,90370,-163660
191.54,-917.379,-587.735,-75040,90930,-164920
203.618,-913.475,-575.901,-77490,91630,-165970
223.443,-912.011,-548.756,-80080,91910,-168630
229.238,-898.408,-529.175,-82250,90580,-171990
